Product_ID,Product_Name,Category,Subcategory,Dosage_Form,Strength,Pack_Size,Supplier_ID,Unit_Cost,Selling_Price,Routinely_Stocked,Active
101,Antimalarial - Option A,Antimalarial,,Capsule,,30 units,1,118.14,193.32,1,1
102,Antimalarial - Option B,Antimalarial,,Capsule,,20 units,3,45.11,65.53,0,1
103,Antimalarial - Option C,Antimalarial,,Syrup,,10 units,5,68.4,102.57,0,1
104,Analgesic - Option A,Analgesic,Analgesic type A,Tablet,250mg,50 units,4,243.11,401.59,1,1
105,Analgesic - Option B,Analgesic,Analgesic type B,Capsule,250mg,24 units,4,242.36,338.49,1,1
106,Analgesic - Option C,Analgesic,,Tablet,,50 units,1,172.41,249.43,1,1
107,Analgesic - Option D,Analgesic,,Tablet,,10 units,4,82.76,128.87,1,0
108,Analgesic - Option E,Analgesic,,Capsule,125mg,50 units,3,198.47,289.07,1,1
109,Analgesic - Option F,Analgesic,Analgesic type F,Capsule,500mg,12 units,3,164.16,246.09,1,1
110,Analgesic - Option G,Analgesic,,Tablet,20mg,24 units,5,215.55,292.13,1,1
111,Analgesic - Option H,Analgesic,Analgesic type H,Cream,,30 units,4,110.5,178.6,1,0
112,Antibiotic - Option A,Antibiotic,Antibiotic type A,Tablet,250mg,30 units,3,132.75,175.04,1,1
113,Antibiotic - Option B,Antibiotic,Antibiotic type B,Tablet,,100 units,2,35.6,46.39,0,1
114,Antibiotic - Option C,Antibiotic,,Capsule,40mg,50 units,4,183.47,266.44,1,1
115,Antibiotic - Option D,Antibiotic,,Cream,,10 units,2,56.54,92.47,0,1
116,Antibiotic - Option E,Antibiotic,Antibiotic type E,Cream,250mg,10 units,3,34.84,50.07,1,1
117,Antibiotic - Option F,Antibiotic,Antibiotic type F,Cream,,30 units,5,55.09,91.8,1,1
118,Antibiotic - Option G,Antibiotic,,Syrup,100mg,50 units,2,198.94,256.08,1,1
119,Antibiotic - Option H,Antibiotic,,Tablet,40mg,24 units,2,137.36,198.83,1,1
120,Antibiotic - Option I,Antibiotic,Antibiotic type I,Tablet,,30 units,2,172.98,238.12,0,1
121,Antihistamine - Option A,Antihistamine,Antihistamine type A,Tablet,,20 units,3,23.79,35.68,0,1
122,Antihistamine - Option B,Antihistamine,,Tablet,,100 units,5,136.04,185.72,1,1
123,Antihistamine - Option C,Antihistamine,,Suspension,,100 units,2,190.92,315.18,1,1
124,Antihistamine - Option D,Antihistamine,Antihistamine type D,Tablet,,12 units,2,37.2,59.0,0,1
125,Antihistamine - Option E,Antihistamine,,Tablet,,100 units,4,57.13,86.82,1,1
126,Antihistamine - Option F,Antihistamine,Antihistamine type F,Syrup,40mg,100 units,1,48.82,61.33,1,1
127,Cough & Cold - Option A,Cough & Cold,Cough & Cold type A,Cream,125mg,100 units,4,61.95,99.85,1,1
128,Cough & Cold - Option B,Cough & Cold,,Tablet,125mg,30 units,3,85.72,126.0,0,1
129,Cough & Cold - Option C,Cough & Cold,,Cream,,50 units,3,39.89,52.38,1,1
130,Cough & Cold - Option D,Cough & Cold,,Syrup,100mg,24 units,5,199.42,250.88,1,1
131,Cough & Cold - Option E,Cough & Cold,,Cream,,20 units,2,218.92,333.06,1,1
132,Cough & Cold - Option F,Cough & Cold,Cough & Cold type F,Syrup,250mg,20 units,5,73.24,99.35,0,1
133,Cough & Cold - Option G,Cough & Cold,Cough & Cold type G,Injection,100mg,10 units,1,87.93,115.61,0,1
134,Cough & Cold - Option H,Cough & Cold,Cough & Cold type H,Tablet,20mg,100 units,5,28.02,37.23,1,1
135,Gastro/Antacid - Option A,Gastro/Antacid,Gastro/Antacid type A,Suspension,500mg,20 units,3,215.02,272.98,1,1
136,Gastro/Antacid - Option B,Gastro/Antacid,,Tablet,20mg,50 units,5,102.8,152.73,0,1
137,Gastro/Antacid - Option C,Gastro/Antacid,,Suspension,250mg,24 units,5,245.2,395.0,0,1
