Request_ID,Request_Date,Requested_Product_ID,Requested_Category,Quantity_Requested,Available,Alternative_Offered,Alternative_Product_ID,Ordered_For_Customer,Order_ID,Fulfilled_Date,Outcome
70758,2025-01-01,144.0,,1,0,1,148.0,0,,,Alternative Accepted
70857,2025-01-01,153.0,,2,0,1,154.0,1,9699.0,2025-01-04,Ordered and Fulfilled
71030,2025-01-01,135.0,,2,1,0,,0,,2025-01-01,Sold
70347,2025-01-02,,Antihistamine,2,0,0,,0,,,Unavailable
70460,2025-01-02,128.0,,1,0,1,130.0,0,,,Unavailable
70598,2025-01-02,136.0,,1,0,1,140.0,1,9590.0,2025-01-06,Ordered and Fulfilled
70759,2025-01-02,144.0,,2,0,0,,1,9663.0,2025-01-07,Ordered and Fulfilled
70834,2025-01-02,147.0,,1,0,1,150.0,1,9695.0,2025-01-05,Ordered and Fulfilled
70926,2025-01-02,154.0,,2,0,0,,1,9727.0,2025-01-09,Ordered and Fulfilled
71247,2025-01-02,145.0,,1,1,0,,0,,2025-01-02,Sold
70299,2025-01-03,120.0,,2,0,0,,1,9456.0,2025-01-06,Ordered and Fulfilled
70599,2025-01-03,136.0,,2,0,1,137.0,1,9591.0,2025-01-07,Ordered and Fulfilled
70835,2025-01-03,147.0,,2,0,0,,0,,,Unavailable
70858,2025-01-03,153.0,,2,0,0,,0,,,Customer Declined
71277,2025-01-03,165.0,,1,1,0,,0,,2025-01-03,Sold
70221,2025-01-04,115.0,,1,0,1,117.0,0,,,Customer Declined
70760,2025-01-04,144.0,,2,0,1,147.0,1,9664.0,2025-01-09,Ordered and Fulfilled
70836,2025-01-04,147.0,,1,0,1,150.0,0,,,Alternative Accepted
71103,2025-01-04,123.0,,2,1,0,,0,,2025-01-04,Sold
70001,2025-01-05,102.0,,2,0,0,,1,9330.0,2025-01-10,Ordered and Fulfilled
70679,2025-01-05,137.0,,1,0,0,,0,,,Unavailable
70761,2025-01-05,144.0,,2,0,1,145.0,0,,,Unavailable
70348,2025-01-06,121.0,,1,0,1,124.0,0,,,Unavailable
