Order_ID,Order_Date,Product_ID,Quantity_Ordered,Supplier_ID,Reason,Expected_Date,Received_Date,Quantity_Received
9699,2025-01-01,153,2,2,Customer Request,2025-01-04,2025-01-04,2.0
9590,2025-01-02,136,1,5,Customer Request,2025-01-06,2025-01-06,1.0
9663,2025-01-02,144,2,3,Customer Request,2025-01-07,2025-01-07,2.0
9695,2025-01-02,147,1,2,Customer Request,2025-01-05,2025-01-05,1.0
9727,2025-01-02,154,2,1,Customer Request,2025-01-04,2025-01-09,2.0
9456,2025-01-03,120,2,2,Customer Request,2025-01-06,2025-01-06,2.0
9591,2025-01-03,136,2,5,Customer Request,2025-01-07,2025-01-07,2.0
9664,2025-01-04,144,2,3,Customer Request,2025-01-09,2025-01-09,2.0
9330,2025-01-05,102,2,3,Customer Request,2025-01-10,2025-01-10,2.0
9665,2025-01-06,144,1,3,Customer Request,2025-01-11,2025-01-11,1.0
9666,2025-01-09,144,1,3,Customer Request,2025-01-14,2025-01-14,1.0
9728,2025-01-09,154,2,1,Customer Request,2025-01-11,2025-01-11,2.0
9525,2025-01-10,128,2,3,Customer Request,2025-01-15,2025-01-15,2.0
9331,2025-01-12,102,2,3,Customer Request,2025-01-17,2025-01-17,1.0
9700,2025-01-12,153,1,2,Customer Request,2025-01-15,2025-01-15,1.0
9332,2025-01-13,102,1,3,Customer Request,2025-01-18,2025-01-18,1.0
9542,2025-01-13,132,2,5,Customer Request,2025-01-17,2025-01-17,2.0
9592,2025-01-13,136,2,5,Customer Request,2025-01-17,2025-01-17,2.0
9729,2025-01-13,154,2,1,Customer Request,2025-01-15,2025-01-17,2.0
9362,2025-01-14,103,1,5,Customer Request,2025-01-18,2025-01-18,1.0
9543,2025-01-14,132,1,5,Customer Request,2025-01-18,2025-01-22,1.0
9506,2025-01-15,124,2,2,Customer Request,2025-01-18,2025-01-22,2.0
9577,2025-01-15,133,2,1,Customer Request,2025-01-17,2025-01-17,2.0
9526,2025-01-16,128,2,3,Customer Request,2025-01-21,2025-01-21,2.0
9333,2025-01-18,102,1,3,Customer Request,2025-01-23,2025-01-23,1.0
9423,2025-01-18,115,1,2,Customer Request,2025-01-21,2025-01-21,1.0
9667,2025-01-18,144,2,3,Customer Request,2025-01-23,2025-01-23,2.0
9730,2025-01-18,154,2,1,Customer Request,2025-01-20,2025-01-20,2.0
9475,2025-01-19,121,1,3,Customer Request,2025-01-24,2025-01-24,0.0
