Sale_ID,Sale_Date,Product_ID,Quantity,Unit_Selling_Price,Revenue,Unit_Cost,Margin
500001,2025-01-01,101,1,193.32,193.32,118.14,75.18
500002,2025-01-01,106,1,249.43,249.43,172.41,77.02
500003,2025-01-01,110,4,292.13,1168.52,215.55,306.32
500004,2025-01-01,114,1,266.44,266.44,183.47,82.97
500005,2025-01-01,119,1,198.83,198.83,137.36,61.47
500006,2025-01-01,129,1,52.38,52.38,39.89,12.49
500007,2025-01-01,131,3,333.06,999.18,218.92,342.42
500008,2025-01-01,135,1,272.98,272.98,215.02,57.96
500009,2025-01-01,138,1,315.76,315.76,216.53,99.23
500010,2025-01-01,139,1,143.43,143.43,101.37,42.06
500011,2025-01-01,145,1,55.05,55.05,35.61,19.44
500012,2025-01-01,149,1,288.99,288.99,208.97,80.02
500013,2025-01-01,151,2,59.95,119.9,36.25,47.4
500014,2025-01-01,156,1,71.91,71.91,55.69,16.22
500015,2025-01-01,160,1,170.86,170.86,126.42,44.44
500016,2025-01-01,166,1,183.2,183.2,138.4,44.8
500017,2025-01-01,167,2,70.09,140.18,48.28,43.62
500018,2025-01-01,168,1,289.8,289.8,228.17,61.63
500019,2025-01-01,170,1,154.1,154.1,94.54,59.56
500020,2025-01-02,101,1,193.32,193.32,118.14,75.18
500021,2025-01-02,106,1,249.43,249.43,172.41,77.02
500022,2025-01-02,109,2,246.09,492.18,164.16,163.86
500023,2025-01-02,112,1,175.04,175.04,132.75,42.29
500024,2025-01-02,114,1,266.44,266.44,183.47,82.97
500025,2025-01-02,118,2,256.08,512.16,198.94,114.28
500026,2025-01-02,119,2,198.83,397.66,137.36,122.94
500027,2025-01-02,123,1,315.18,315.18,190.92,124.26
500028,2025-01-02,125,1,86.82,86.82,57.13,29.69
500029,2025-01-02,127,1,99.85,99.85,61.95,37.9
500030,2025-01-02,130,1,250.88,250.88,199.42,51.46
500031,2025-01-02,131,2,333.06,666.12,218.92,228.28
500032,2025-01-02,134,1,37.23,37.23,28.02,9.21
500033,2025-01-02,139,1,143.43,143.43,101.37,42.06
500034,2025-01-02,142,2,58.26,116.52,34.86,46.8
500035,2025-01-02,148,1,69.95,69.95,42.84,27.11
500036,2025-01-02,151,5,59.95,299.75,36.25,118.5
500037,2025-01-02,156,2,71.91,143.82,55.69,32.44
500038,2025-01-02,158,2,192.52,385.04,134.46,116.12
500039,2025-01-02,159,2,243.51,487.02,158.58,169.86
500040,2025-01-02,160,1,170.86,170.86,126.42,44.44
500041,2025-01-02,166,2,183.2,366.4,138.4,89.6
500042,2025-01-02,169,1,117.76,117.76,72.26,45.5
500043,2025-01-02,170,1,154.1,154.1,94.54,59.56
500044,2025-01-03,110,2,292.13,584.26,215.55,153.16
500045,2025-01-03,112,1,175.04,175.04,132.75,42.29
500046,2025-01-03,114,1,266.44,266.44,183.47,82.97
